test,N,dim,k,max_vram_mb,shard_count,cuvs_k,parallel_fanout,build_s,p50_us,p95_us,recall_at_k,notes
T1a-vram-40gb,100000,384,10,40000,auto,100,1,2.63,1214.0,1313.0,0.792,gpu=1
T1b-vram-2gb,100000,384,10,2048,auto,100,1,2.61,1215.0,1313.0,0.802,gpu=1 vram_constrained
T2-shard-1,100000,384,10,40000,1,100,1,2.64,1224.0,1324.0,0.816,both_gpus
T2-shard-2,100000,384,10,40000,2,100,1,2.64,2075.0,2178.0,0.924,both_gpus
T3-cuvsk-10,100000,384,10,40000,1,10,1,2.62,1207.0,1306.0,0.62,
T3-cuvsk-50,100000,384,10,40000,1,50,1,2.62,1309.0,1399.0,0.618,
T3-cuvsk-100,100000,384,10,40000,1,100,1,2.62,1333.0,1466.0,0.798,
T3-cuvsk-200,100000,384,10,40000,1,200,1,2.62,1352.0,1474.0,0.916,
T4-fanout-sequential,100000,384,10,40000,2,100,0,2.65,1936.0,2019.0,0.924,both_gpus
T4-fanout-parallel,100000,384,10,40000,2,100,1,2.65,2298.0,2464.0,0.922,both_gpus
